Lab_No,Sex,Age,Town,Range,Section,Tag_Date,TB+
312549,female,3.5,28N,06E,22,Q,Pos
299024,female,3.5,28N,04E,21,2009-01-08,Pos
530604,male,3.5,30N,06E,21,2016-11-19,Pos
348543,male,3.5,28N,04E,3,2015-11-19,Pos
348532,male,4.5,29N,05E,30,2015-11-18,Pos
502832,male,3.5,29N,04E,19,2009-11-30,Pos
50070,female,5.5,28N,07E,5,1999-10-18,Pos
532718,male,4.5,27N,07E,11,2016-11-18,Pos
348691,male,4.5,29N,04E,25,2015-11-21,Pos
528569,male,2.5,28N,04E,30,2016-11-18,Pos
345750,female,3.5,27N,04E,21,2014-11-01,Pos
342867,female,6.5,29N,04E,24,2016-11-21,Pos
50051 (50052),female,4.5,30N,06E,22,1999-10-17,Pos
348515,male,5.5,29N,05E,6,2015-11-15,Pos
348514,male,5.5,29N,04E,36,2015-11-15,Pos
529334,female,3.5,28N,06E,20,2015-11-22,Pos
529336,male,1.5,28N,07E,30,2015-11-22,Pos
528573,male,3.5,28N,04E,29,2016-11-18,Pos
349277,female,8.5,28N,04E,12,2015-11-30,Pos
417185,male,3.5,30N,04E,23,2007-11-17,Pos
349186,male,2.5,30N,06E,9,2013-11-25,Pos
529179,female,4.5,27N,04E,6,2015-11-17,Pos
348684,male,2.5,29N,04E,36,2015-11-20,Pos
348682,male,4.5,29N,05E,30,2015-11-20,Pos
43950,male,3.5,28N,06E,11,1999-11-17,Pos
535403,male,3.5,29N,05E,17,2017-11-18,Pos
345783,male,2.5,27N,04E,15,2013-12-02,Pos
532614,female,4.5,28N,06E,28,2016-11-16,Pos
532536,male,4.5,28N,04E,1,2017-11-17,Pos
534486,male,2.5,29N,06E,29,2017-12-12,Pos
344004,male,1.5,29N,05E,12,2013-11-21,Pos
529248,male,3.5,28N,04E,29,2015-11-21,Pos
43913,male,3.5,30N,05E,23,1999-11-16,Pos
528524,female,8.5,29N,04E,4,2016-11-18,Pos
342115,male,2.5,28N,06E,13,2016-11-18,Pos
374545,female,6.5,29N,06E,8,2003-10-19,Pos
502262,male,5.5,29N,04E,15,2009-11-23,Pos
347270,male,4.5,29N,04E,21,2014-11-18,Pos
535639,female,4.5,29N,04E,35,2017-10-19,Pos
42938,male,4.5,30N,05E,34,1999-11-19,Pos
502409,male,2.5,30N,06E,2,2009-10-22,Pos
395557,male,4.5,28N,04E,21,2005-11-28,Pos
370394,male,3.5,30N,05E,35,2008-10-20,Pos
530683,male,4.5,28N,04E,30,2015-11-18,Pos
346474,male,4.5,27N,05E,12,2012-11-24,Pos
533136,female,2.5,29N,05E,17,2017-11-21,Pos
533133,female,10.5,29N,04E,12,2017-11-21,Pos
4828,male,1.5,30N,04E,23,1998-11-25,Pos
530739,male,3.5,27N,06E,13,2018-11-27,Pos
352797,male,3.5,30N,06E,8,2018-11-26,Pos
5028,male,Q,30N,05E,Q,1998-11-16,Pos
353821,female,4.5,29N,04E,36,2013-11-23,Pos
348429,female,4,29N,04E,16,2015-09-20,Pos
42456,male,3.5,29N,04E,3,1999-11-18,Pos
532773,male,2.5,31N,06E,29,2016-11-16,Pos
43704,female,3.5,30N,07E,19,1999-11-28,Pos
525597,female,11.5,28N,04E,17,2016-12-07,Pos
4608,male,1.5,27N,05E,14,1998-12-02,Pos
426008,female,5.5,28N,08E,31,2009-12-29,Pos
43465,male,3.5,30N,06E,34,1999-11-15,Pos
393801,male,2.5,29N,05E,19,2008-11-16,Pos
42524,male,2.5,30N,04E,20,1999-11-17,Pos
504231,female,6.5,30N,05E,10,2009-11-23,Pos
530857,male,1.5,27N,04E,17,2015-10-04,Pos
43623,male,2.5,27N,07E,11,1999-11-19,Pos
351445,male,4.5,29N,04E,10,2015-11-19,Pos
394116,male,2.5,28N,03E,25,2006-10-06,Pos
529408,female,4.5,29N,04E,17,2015-12-12,Pos
528453,male,4.5,29N,04E,3,2015-11-19,Pos
417131,male,2.5,30N,06E,26,2011-11-16,Pos
535745,male,3.5,29N,06E,16,2017-10-27,Pos
50455 (27395),male,Q,28N,05E,8,Q,Pos
417275,male,4.5,29N,06E,9,2016-11-18,Pos
532372,male,3.5,28N,07E,33,2014-11-24,Pos
4170,male,1.5,27N,07E,35,1998-11-23,Pos
44294,male,2.5,28N,07E,31,1999-11-22,Pos
5352,male,4.5,29N,05E,8,11/  /98,Pos
417107,female,3.5,28N,06E,10,2010-12-10,Pos
530458,female,4.5,28N,05E,13,2014-11-30,Pos
417112,female,3.5,28N,06E,10,2012-11-16,Pos
417129,female,5.5,30N,05E,22,2004-11-23,Pos
535213,male,4.5,28N,04E,2,2017-11-17,Pos
417252,male,4.5,29N,04E,13,2007-11-29,Pos
417130,male,2.5,29N,06E,11,2004-11-17,Pos
417102,male,3.5,29N,06E,11,2008-11-17,Pos
529039,male,2.5,28N,05E,6,2015-11-16,Pos
417132,male,Q,28N,06E,24,2011-11-18,Pos
44399,male,4.5,29N,05E,30,1999-11-18,Pos
417153,female,3.5,30N,05E,23,2008-11-30,Pos
5054,female,2.5,28N,06E,2,1998-10-19,Pos
417487,female,2.5,29N,04E,29,2012-11-15,Pos
417559,male,1.5,30N,06E,24,2009-11-17,Pos
418486,male,3.5,28N,04E,29,2011-11-16,Pos
341201,male,3.5,28N,05E,13,2012-11-15,Pos
5104,male,1.5,30N,06E,23,1998-10-10,Pos
535770,female,2.5,29N,05E,29,2017-11-15,Pos
417973,male,3.5,28N,06E,26,2004-11-19,Pos
346047,male,3.5,28N,05E,17,2012-11-29,Pos
532508,female,4,28N,04E,1,2017-06-16,Pos
50581,female,2.5,29N,06E,16,1999-11-16,Pos
374002,male,1.5,30N,04E,27,2003-11-19,Pos
417189,female,2.5,30N,06E,23,2007-11-18,Pos
537498,male,3.5,28N,04E,1,2016-11-17,Pos
50582,female,2.5,29N,06E,16,1999-11-16,Pos
